SYSTEM_ID,BEFORE_AM_EB_NB_VOL,BEFORE_AM_EB_NB_TT,BEFORE_AM_EB_NB_STOPS,BEFORE_AM_WB_SB_VOL,BEFORE_AM_WB_SB_TT,BEFORE_AM_WB_SB_STOPS,BEFORE_OFF_EB_NB_VOL,BEFORE_OFF_EB_NB_TT,BEFORE_OFF_EB_NB_STOPS,BEFORE_OFF_WB_SB_VOL,BEFORE_OFF_WB_SB_TT,BEFORE_OFF_WB_SB_STOPS,BEFORE_PM_EB_NB_VOL,BEFORE_PM_EB_NB_TT,BEFORE_PM_EB_NB_STOPS,BEFORE_PM_WB_SB_VOL,BEFORE_PM_WB_SB_TT,BEFORE_PM_WB_SB_STOPS,AFTER_AM_EB_NB_TT,AFTER_AM_EB_NB_STOPS,AFTER_AM_WB_SB_TT,AFTER_AM_WB_SB_STOPS,AFTER_OFF_EB_NB_TT,AFTER_OFF_EB_NB_STOPS,AFTER_OFF_WB_SB_TT,AFTER_OFF_WB_SB_STOPS,AFTER_PM_EB_NB_TT,AFTER_PM_EB_NB_STOPS,AFTER_PM_WB_SB_TT,AFTER_PM_WB_SB_STOPS,SCHEDULED_FY,RETIME_STATUS,SCHEDULED_MONTH,STATUS_DATE,BEFORE_RUNS,AFTER_RUNS
6,121,649.33,6.67,145,634,6.33,229,661.5,6.5,268,727,8,196,775,10,258,648.67,5.67,350.67,5,330.33,5.33,444,5,482,5.33,882,9,520.67,6.67,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
11,85,300.6,1.6,326,348.5,2.666666667,200,324.3333333,2.666666667,196,405.6666667,3,229,381.5714286,3.857142857,181,473.8571429,4.285714286,302.6666667,2.666666667,317.6666667,3,325,2.666666667,335.3333333,3,359.3333333,3.666666667,394,4.333333333,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
14,331,982,8,196,802.33,7,272,839.5,6.5,262,927,7,374,1310,11,412,1095,11,,,,,,,,,,,,,2016,IN_PROGRESS,SEP,9/26/2016,FALSE,FALSE
16,274,433.33,5,185,526,4.67,278,297,4.33,221,278,3.33,207,480.33,5.33,314,568.5,7,457.67,6.33,462,4.67,378.67,5.67,322.5,4,459.67,7,337.67,3.33,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
19,294,685,6,429,792,7,352,766,6,409,918,7.5,433,987,7.8,561,1224,10.5,613,4,670,3,589,2.5,613,2.3,932,6,882,5,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
78,219,424.5,1,280,465,2,247,455.5,2,116,494.75,2.75,251,727.6666667,6.333333333,119,553.6666667,3.333333333,423.3333333,2.333333333,481,2.333333333,420,2.333333333,420,2.333333333,502.3333333,3.333333333,530,3.333333333,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
22,114,336,3,589,352,2,182,249,0,248,298,1,506,355,1.67,229,300,2,300,1,332,1.67,246,0,295,1,271,0,290,2,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
28,93,210,2,136,250,2.67,117,116,0,110,215,2.33,185,166,1,122,193,1.33,118,0,176,1,117,0,171,1,147,0.33,212,1.33,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
34,67,369.4,2.8,98,639.8,6.8,125,461.1666667,4.333333333,224,444.1666667,3.5,133,767.6666667,9.833333333,244,488.6666667,6,389,3,485,5.666666667,369.3333333,1.666666667,432.3333333,4,551,8.333333333,459.3333333,5,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
37,125,388.6666667,3.333333333,215,363.3333333,3.333333333,141,432.3333333,3.666666667,138,359,2.666666667,222,1881,17.5,180,764,7,349.3333333,3,440.6666667,3.333333333,483,4.333333333,400.6666667,5.333333333,1115.5,10.5,1015,11.5,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
53,40,339.5,3.5,140,347.75,4,111,166.5,4.25,85,332,3.67,180,361.25,3.75,127,375.5,4,461.33,4.33,334.67,4.33,294.67,3.33,248.67,2.33,500.67,5,416.33,4.67,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
61,417,672.33,7.67,59,537.33,5.67,133,337.33,3,99,493,4.33,155,525.5,3,285,713,8,1245.67,19.33,474,3.33,479.33,4.33,445.33,3,522.67,5,701.33,8.67,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
65,126,254.67,2.33,151,197.33,2,84,214.67,2.33,79,202.67,2,134,202.67,2,168,230.33,2,201.25,2.5,209.5,2.25,216.33,2.33,200.67,2.67,200.67,2.67,180.33,1,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
69,117,326,4,420,363,3,159,314.67,2.67,165,394,4.67,173,337.67,3.67,175,472,4.33,291,1.67,471.67,4.3,257,0.67,432.3,3.33,303,3.33,470.33,4.67,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
72,672,359.6666667,6,408,229.3333333,2.333333333,441,470,6,450,428,6,665,420.6666667,5.333333333,752,281.3333333,3.333333333,242.75,2.5,262.75,3,235.3333333,2.666666667,217.3333333,2,356,4.333333333,203,1.333333333,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
73,214,285,2,305,400,3,257,301,2,225,285,3,375,433,4,329,411,4,351,2,349,3,274,2,252,2,389,3,414,3,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
75,209,1096.5,7.25,290,1469.75,11.25,226,1027,8,226,1005.25,5.5,318,1444.5,12.5,294,1057,7.5,998.5,6.25,1094.25,7.5,1015,6,1030.25,7.75,1370.666667,10.66666667,1055.5,6,2016,COMPLETED,SEP,9/26/2016,TRUE,TRUE
